,mu_theta1_if,mu_theta1_slab,mu_theta7,theta2_if,theta2_slab,theta3,theta9_if,theta9_slab,theta_nft1,theta_nft2,dZB_if,dZB_slab,delta_theta1_if,delta_theta1_slab,delta_theta7,delta_theta62,between,mu_theta6_B,theta4_if,theta4_slab,theta5,sigma_a,sd_y,betsigma
0,1.963526293,2.8,0.939084461,-1.254378973,-1.244868758,0.028024475,0.025040951,0.003009148,0.844321045,0.196390595,0.105201075,-0.00771224,0.091071754,0.429260054,-0.239660185,-0.000283908,0.156009434,-0.001999881,1.420617599,1.563987271,0.747139186,0.423434091,0.568552402,0.322902268
1,,,,,,,,,,,,,0,-0.302085101,-0.23567725,-0.000990178,-0.019813066,,,,,,,
2,,,,,,,,,,,,,-0.149527643,0.379634466,0.268827188,0.000509447,0.052467184,,,,,,,
3,,,,,,,,,,,,,0.88915661,0.755578815,-0.252966772,-0.002443558,-0.02940085,,,,,,,
4,,,,,,,,,,,,,0.446815199,0.275038401,0.01273729,0.001991108,-0.299987942,,,,,,,
5,,,,,,,,,,,,,0.392686042,0.40190092,0.44241123,1.65E-05,0.09954207,,,,,,,
6,,,,,,,,,,,,,0.203077244,0.412272418,-0.064393768,-0.001422509,-0.094721615,,,,,,,
7,,,,,,,,,,,,,,,,,0.183318828,,,,,,,
8,,,,,,,,,,,,,,,,,-0.186061418,,,,,,,
9,,,,,,,,,,,,,,,,,0.030851472,,,,,,,
10,,,,,,,,,,,,,,,,,0.290818798,,,,,,,
11,,,,,,,,,,,,,,,,,0.030841665,,,,,,,
12,,,,,,,,,,,,,,,,,0.094149404,,,,,,,
13,,,,,,,,,,,,,,,,,0.080586668,,,,,,,
14,,,,,,,,,,,,,,,,,-0.103769575,,,,,,,
15,,,,,,,,,,,,,,,,,0.011388752,,,,,,,
16,,,,,,,,,,,,,,,,,-0.06974218,,,,,,,
17,,,,,,,,,,,,,,,,,0.3967636,,,,,,,
18,,,,,,,,,,,,,,,,,-0.027777061,,,,,,,
19,,,,,,,,,,,,,,,,,-0.202051057,,,,,,,
20,,,,,,,,,,,,,,,,,0.055270679,,,,,,,
21,,,,,,,,,,,,,,,,,-0.228337323,,,,,,,
22,,,,,,,,,,,,,,,,,0.187532542,,,,,,,
23,,,,,,,,,,,,,,,,,-0.075141157,,,,,,,
24,,,,,,,,,,,,,,,,,-0.174224765,,,,,,,
25,,,,,,,,,,,,,,,,,-0.078377139,,,,,,,
26,,,,,,,,,,,,,,,,,0.488484648,,,,,,,
27,,,,,,,,,,,,,,,,,0.004938936,,,,,,,
28,,,,,,,,,,,,,,,,,-0.462696712,,,,,,,
29,,,,,,,,,,,,,,,,,0.013638744,,,,,,,
30,,,,,,,,,,,,,,,,,-0.211143752,,,,,,,
31,,,,,,,,,,,,,,,,,0.084479281,,,,,,,
32,,,,,,,,,,,,,,,,,0.666137618,,,,,,,
33,,,,,,,,,,,,,,,,,0.862808761,,,,,,,
34,,,,,,,,,,,,,,,,,-0.403057553,,,,,,,
